year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-740000,-3.559,187.52,-2.106,0.011,0.418,2.767,499.291,341.972,4.179,1.478,0.506
-738000,-4.005,184.8,-2.185,0.013,0.417,3.462,505.46,341.979,4.085,1.506,0.504
-736000,-4.452,201.06,-1.733,0.015,0.414,4.134,510.612,341.988,3.992,1.501,0.501
-734000,-4.899,215.718,-1.357,0.017,0.411,4.79,511.6,341.999,3.898,1.441,0.499
-732000,-4.801,210.645,-1.484,0.019,0.407,5.437,503.991,342.01,3.805,1.448,0.497
-730000,-4.704,212.017,-1.45,0.021,0.404,6.078,490.633,342.022,3.711,1.466,0.495
-728000,-4.606,210.855,-1.479,0.022,0.4,0.429,473.905,342.036,3.617,1.452,0.491
-726000,-4.509,210.155,-1.497,0.024,0.397,1.06,459.329,342.05,3.524,1.32,0.487
-724000,-4.411,211.12,-1.472,0.026,0.395,1.687,453.828,342.064,3.43,1.222,0.482
-722000,-4.314,212.89,-1.428,0.027,0.394,2.312,457.067,342.079,3.337,1.199,0.478
-720000,-4.216,218.087,-1.299,0.029,0.395,2.932,471.254,342.093,3.243,1.268,0.477
-718000,-4.119,209.963,-1.502,0.03,0.396,3.549,489.726,342.106,3.149,1.39,0.476
-716000,-4.021,193.923,-1.927,0.031,0.399,4.163,506.457,342.119,3.056,1.424,0.475
-714000,-3.924,218.708,-1.283,0.033,0.402,4.772,516.571,342.132,2.962,1.477,0.474
-712000,-4.179,226.203,-1.103,0.034,0.405,5.375,513.924,342.144,2.869,1.649,0.473
-710000,-4.152,224.602,-1.141,0.035,0.409,5.971,503.022,342.156,2.775,1.688,0.471
-708000,-4.552,230.952,-0.992,0.036,0.412,2.375,486.582,342.167,2.682,1.618,0.465
-706000,-4.382,234.763,-0.904,0.036,0.415,0.869,471.822,342.177,2.588,1.463,0.457
-704000,-4.11,236.012,-0.876,0.037,0.417,1.451,466.047,342.185,2.494,1.311,0.448
-702000,-3.81,232.518,-0.956,0.038,0.418,2.032,469.223,342.193,2.401,1.204,0.439
-700000,-3.487,232.62,-0.953,0.038,0.418,2.611,483.963,342.199,2.307,1.109,0.428
-698000,-3.389,238.023,-0.831,0.039,0.417,3.191,503.707,342.204,2.214,0.984,0.417
-696000,-3.353,240.25,-0.781,0.039,0.415,3.77,522.417,342.207,2.12,0.938,0.41
-694000,-3.379,238.304,-0.824,0.039,0.413,4.35,534.518,342.209,2.144,0.912,0.408
-692000,-3.653,239.84,-0.79,0.039,0.411,4.933,532.056,342.21,2.168,0.944,0.412
-690000,-3.742,239.99,-0.787,0.039,0.408,5.515,518.727,342.21,2.192,1.053,0.418
-688000,-4.191,233.452,-0.934,0.039,0.405,4.006,495.512,342.208,2.216,1.169,0.425
-686000,-4.345,225.538,-1.119,0.039,0.403,0.403,471.313,342.205,2.24,1.21,0.427
-684000,-4.727,221.422,-1.217,0.038,0.401,0.99,454.153,342.2,2.237,1.151,0.428
-682000,-5.343,223.235,-1.174,0.038,0.4,1.578,446.26,342.195,2.235,1.164,0.427
-680000,-6.223,223.54,-1.166,0.037,0.399,2.165,452.837,342.186,2.232,1.164,0.427
-678000,-5.338,232.145,-0.964,0.036,0.399,2.753,467.909,342.177,2.23,1.164,0.426
-676000,-5.783,218.712,-1.283,0.036,0.4,3.337,488.37,342.167,2.227,1.133,0.423
-674000,-5.341,216.793,-1.33,0.035,0.401,3.921,507.148,342.155,2.224,1.007,0.421
-672000,-6.325,202.895,-1.685,0.034,0.403,4.503,516.874,342.142,2.222,1.01,0.421
-670000,-6.862,195.908,-1.872,0.032,0.405,5.081,517.821,342.129,2.219,1.145,0.424
-668000,-6.556,189.585,-2.048,0.031,0.407,5.653,508.391,342.115,2.217,1.215,0.428
-666000,-7.163,177.363,-2.404,0.03,0.41,6.219,495.232,342.1,2.214,1.247,0.431
-664000,-8.648,178.493,-2.37,0.028,0.412,0.497,483.019,342.084,2.211,1.403,0.436
-662000,-8.17,190.447,-2.024,0.026,0.413,1.051,475.095,342.069,2.209,1.594,0.441
-660000,-7.251,192.004,-1.98,0.025,0.414,1.595,475.135,342.054,2.206,1.79,0.445
-658000,-7.995,187.163,-2.117,0.023,0.415,2.129,480.169,342.039,2.204,1.813,0.447
-656000,-8.469,189.285,-2.056,0.021,0.414,2.652,489.018,342.025,2.201,1.805,0.448
-654000,-7.696,200.175,-1.757,0.019,0.413,3.162,497.786,342.012,2.198,1.872,0.448
-652000,-7.82,193.845,-1.929,0.017,0.411,3.647,503.278,342.002,2.196,1.833,0.447
-650000,-8.469,187.03,-2.12,0.016,0.409,4.112,505.427,341.993,2.193,1.736,0.445
-648000,-7.91,192.953,-1.954,0.015,0.406,4.548,503.471,341.986,2.191,1.69,0.445
-646000,-7.743,192.665,-1.962,0.014,0.404,4.961,499.62,341.983,2.188,1.794,0.445
-644000,-7.573,192.855,-1.956,0.014,0.401,5.353,494.483,341.981,2.185,1.832,0.446
-642000,-7.437,195.31,-1.889,0.014,0.4,5.748,488.975,341.983,2.183,1.822,0.447
-640000,-8.195,191.47,-1.995,0.015,0.399,4.068,482.897,341.988,2.18,1.837,0.446
-638000,-8.372,189.515,-2.05,0.016,0.399,0.319,476.425,341.995,2.178,1.791,0.444
-636000,-8.237,195.33,-1.888,0.018,0.4,0.791,470.474,342.006,2.175,1.65,0.443
-634000,-8.428,194.43,-1.913,0.02,0.402,1.283,466.34,342.019,2.172,1.704,0.442
-632000,-8.715,194.525,-1.91,0.022,0.405,1.804,467.462,342.034,2.17,1.715,0.442
-630000,-8.67,198.48,-1.803,0.024,0.408,2.334,473.924,342.052,2.167,1.612,0.44
-628000,-8.826,201.857,-1.712,0.027,0.41,2.878,487.926,342.072,2.165,1.571,0.438
-626000,-6.983,210.735,-1.482,0.029,0.413,3.426,505.504,342.094,2.162,1.554,0.437
-624000,-4.796,231.765,-0.973,0.031,0.415,3.982,522.616,342.116,2.159,1.519,0.436
-622000,-3.441,240.337,-0.779,0.033,0.416,4.542,534.49,342.14,2.157,1.471,0.434
-620000,-2.799,243.53,-0.708,0.035,0.417,5.105,533.62,342.164,2.154,1.38,0.43
-618000,-2.852,247.09,-0.631,0.037,0.416,5.671,522.282,342.188,2.152,1.235,0.427
-616000,-2.601,252.64,-0.512,0.039,0.414,4.147,500.218,342.211,2.149,1.235,0.425
-614000,-2.49,252.793,-0.509,0.041,0.412,0.533,475.873,342.233,2.146,1.274,0.426
-612000,-3.069,256.19,-0.437,0.042,0.409,1.111,457.378,342.253,2.144,1.286,0.426
-610000,-3.53,258.547,-0.388,0.043,0.406,1.693,448.194,342.271,2.141,1.26,0.426
-608000,-4.108,258.48,-0.389,0.044,0.403,2.281,454.722,342.287,2.139,1.272,0.426
-606000,-4.667,254.58,-0.471,0.045,0.4,2.871,471.129,342.301,2.136,1.339,0.427
-604000,-4.599,246.505,-0.643,0.046,0.398,3.463,494.166,342.312,2.133,1.317,0.427
-602000,-4.318,239.14,-0.806,0.047,0.397,4.057,514.796,342.321,2.131,1.257,0.425
-600000,-4.21,235.155,-0.895,0.047,0.396,4.652,522.904,342.328,2.128,1.274,0.423
-598000,-4.179,227.675,-1.068,0.047,0.397,5.246,518.563,342.332,2.126,1.165,0.421
-596000,-5.433,217.645,-1.309,0.047,0.398,5.837,499.761,342.333,2.123,1.127,0.416
-594000,-4.86,223.527,-1.167,0.047,0.4,0.144,476.369,342.332,2.12,1.018,0.413
-592000,-3.89,236.43,-0.867,0.047,0.403,0.73,456.925,342.328,2.118,0.992,0.408
-590000,-5.214,230.817,-0.995,0.047,0.406,1.314,446.399,342.323,2.115,0.885,0.403
-588000,-4.159,247.287,-0.626,0.046,0.409,1.894,452.198,342.315,2.113,0.804,0.399
-586000,-5.375,236.38,-0.868,0.046,0.413,2.471,469.181,342.305,2.11,0.8,0.399
-584000,-6.063,223.96,-1.156,0.045,0.415,3.044,495.828,342.294,2.135,0.862,0.402
-582000,-5.885,208.66,-1.535,0.044,0.418,3.615,523.091,342.282,2.16,0.913,0.407
-580000,-5.079,220.042,-1.251,0.043,0.419,4.182,541.472,342.268,2.164,0.949,0.412
-578000,-3.24,245.702,-0.661,0.042,0.42,4.747,548.558,342.253,2.169,1.026,0.416
-576000,-2.77,250.695,-0.553,0.041,0.42,5.31,538.604,342.238,2.173,1.112,0.419
-574000,-3.068,251.595,-0.534,0.04,0.418,5.872,519.325,342.222,2.178,1.128,0.422
-572000,-2.903,249.84,-0.571,0.039,0.416,2.246,494.911,342.205,2.182,1.144,0.422
-570000,-2.969,249.922,-0.57,0.037,0.413,0.716,472.848,342.188,2.187,1.098,0.421
-568000,-3.178,250.92,-0.548,0.036,0.409,1.281,460.03,342.171,2.191,1.058,0.418
-566000,-3.397,253.55,-0.493,0.034,0.405,1.848,455.859,342.154,2.195,0.968,0.415
-564000,-4.41,252.633,-0.512,0.033,0.4,2.418,462.511,342.137,2.2,0.91,0.412
-562000,-4.773,244.3,-0.691,0.032,0.397,2.99,474.074,342.12,2.204,0.912,0.41
-560000,-5.4,232.1,-0.965,0.03,0.394,3.562,486.58,342.103,2.209,0.85,0.408
-558000,-5.747,231.175,-0.987,0.028,0.392,4.134,495.917,342.087,2.213,0.817,0.407
-556000,-3.845,244.386,-0.689,0.027,0.392,4.703,497.756,342.071,2.218,0.854,0.406
-554000,-3.948,231.475,-0.98,0.025,0.393,5.269,494.327,342.056,2.222,0.81,0.403
-552000,-5.333,222.92,-1.181,0.023,0.395,5.825,486.785,342.042,2.227,0.693,0.4
-550000,-5.596,218.933,-1.278,0.021,0.399,0.088,479.398,342.028,2.231,0.702,0.397
-548000,-6.147,208.3,-1.544,0.02,0.403,0.621,475.741,342.016,2.235,0.698,0.4
-546000,-6.774,207.15,-1.574,0.018,0.408,1.137,476.085,342.005,2.24,0.781,0.404
-544000,-7.139,209.95,-1.502,0.016,0.413,1.63,481.553,341.996,2.244,0.849,0.409
-542000,-7.343,205.85,-1.608,0.015,0.417,2.098,489.265,341.988,2.249,0.866,0.411
-540000,-7.078,208.1,-1.549,0.014,0.42,2.537,497.767,341.982,2.253,0.87,0.41
-538000,-7.236,209.65,-1.51,0.013,0.422,2.952,505.341,341.978,2.258,0.811,0.409
-536000,-7.234,202.2,-1.703,0.012,0.423,3.337,510.602,341.976,2.262,0.806,0.407
-534000,-7.737,194.7,-1.905,0.012,0.422,3.715,514.054,341.975,2.266,0.774,0.406
-532000,-6.572,202.725,-1.689,0.013,0.42,4.11,515.226,341.977,2.271,0.754,0.404
-530000,-5.305,218.5,-1.288,0.013,0.416,4.522,514.512,341.981,2.275,0.713,0.404
-528000,-5.244,221.95,-1.205,0.015,0.412,4.968,510.511,341.987,2.28,0.766,0.407
-526000,-4.91,226.25,-1.102,0.016,0.408,5.44,503.518,341.995,2.284,0.84,0.412
-524000,-5.177,233.267,-0.939,0.018,0.404,5.947,492.23,342.004,2.289,0.906,0.417
-522000,-4.299,239.35,-0.801,0.019,0.4,0.191,478.833,342.015,2.293,0.975,0.42
-520000,-4.481,243.5,-0.709,0.021,0.397,0.737,465.857,342.027,2.298,1.02,0.425
-518000,-4.468,246.167,-0.651,0.023,0.395,1.296,456.144,342.04,2.302,1.125,0.429
-516000,-4.747,246.3,-0.648,0.025,0.395,1.867,454.786,342.053,2.306,1.21,0.433
-514000,-5.237,242.25,-0.736,0.026,0.395,2.444,460.832,342.067,2.311,1.24,0.434
-512000,-5.483,239.8,-0.791,0.028,0.397,3.028,475.872,342.081,2.315,1.195,0.434
-510000,-5.184,235.8,-0.881,0.029,0.399,3.612,494.098,342.094,2.32,1.201,0.434
-508000,-5.352,236.85,-0.857,0.03,0.402,4.201,510.094,342.107,2.324,1.201,0.434
-506000,-4.805,237.067,-0.852,0.031,0.405,4.788,519.617,342.119,2.329,1.172,0.433
-504000,-4.756,234.7,-0.906,0.032,0.408,5.377,516.709,342.129,2.333,1.107,0.432
-502000,-4.643,232.767,-0.95,0.033,0.411,5.966,505.746,342.138,2.337,1.144,0.431
-500000,-4.706,230.067,-1.012,0.034,0.414,2.366,489.339,342.145,2.342,1.111,0.431
-498000,-4.6,230.7,-0.998,0.034,0.416,0.86,474.504,342.151,2.346,1.046,0.429
-496000,-4.842,235.233,-0.894,0.035,0.416,1.448,468.362,342.154,2.351,1.021,0.427
-494000,-5.037,238.133,-0.828,0.035,0.417,2.039,470.939,342.156,2.355,1.003,0.427
-492000,-4.936,239.4,-0.8,0.035,0.416,2.628,484.293,342.155,2.36,1.035,0.429
-490000,-4.266,244.567,-0.686,0.034,0.415,3.219,501.844,342.153,2.364,1.084,0.43
-488000,-3.706,245.52,-0.665,0.034,0.413,3.814,517.436,342.149,2.369,1.053,0.432
-486000,-4.18,233.767,-0.927,0.034,0.41,4.41,526.074,342.143,2.373,1.126,0.432
-484000,-3.996,232.1,-0.965,0.033,0.407,5.01,521.073,342.135,2.377,1.088,0.433
-482000,-4.561,230.033,-1.013,0.032,0.404,5.612,506.968,342.127,2.382,1.132,0.435
-480000,-5.201,223.6,-1.165,0.031,0.402,4.125,486.185,342.117,2.386,1.213,0.439
-478000,-5.181,226.85,-1.088,0.03,0.399,0.546,466.515,342.106,2.391,1.347,0.443
-476000,-4.966,237.85,-0.834,0.029,0.398,1.157,455.416,342.095,2.395,1.427,0.446
-474000,-5.703,235.7,-0.883,0.028,0.397,1.772,453.228,342.083,2.4,1.429,0.447
-472000,-4.68,244.4,-0.689,0.027,0.398,2.387,462.826,342.071,2.404,1.38,0.445
-470000,-6.515,224.025,-1.155,0.025,0.399,3.004,478.035,342.06,2.408,1.284,0.443
-468000,-7.733,206.0,-1.604,0.024,0.402,3.618,494.58,342.048,2.413,1.238,0.442
-466000,-7.659,203.9,-1.658,0.022,0.405,4.231,507.609,342.036,2.417,1.299,0.444
-464000,-6.692,207.767,-1.558,0.021,0.408,4.844,512.256,342.026,2.422,1.414,0.447
-462000,-7.937,197.15,-1.839,0.02,0.412,5.455,510.755,342.016,2.426,1.423,0.447
-460000,-8.496,193.1,-1.95,0.018,0.415,3.973,503.883,342.006,2.431,1.328,0.444
-458000,-7.881,205.35,-1.621,0.017,0.418,0.397,496.457,341.998,2.435,1.172,0.443
-456000,-7.51,199.8,-1.767,0.015,0.419,1.016,491.933,341.99,2.44,1.263,0.442
-454000,-8.628,193.3,-1.944,0.014,0.42,1.637,490.848,341.983,2.444,1.298,0.444
-452000,-8.018,200.15,-1.758,0.013,0.418,2.272,493.875,341.977,2.448,1.299,0.443
-450000,-7.98,203.05,-1.681,0.011,0.416,2.92,498.045,341.972,2.453,1.145,0.439
-448000,-7.673,204.9,-1.632,0.01,0.412,3.588,500.402,341.967,2.457,0.999,0.435
-446000,-7.947,202.3,-1.701,0.009,0.408,4.278,499.548,341.964,2.462,1.013,0.434
-444000,-8.812,199.1,-1.786,0.008,0.403,5.003,493.489,341.961,2.466,1.071,0.436
-442000,-8.988,202.0,-1.709,0.007,0.399,5.757,484.683,341.959,2.471,1.099,0.439
-440000,-9.709,201.3,-1.727,0.007,0.395,2.353,475.389,341.958,2.475,1.167,0.441
-438000,-9.606,201.0,-1.735,0.007,0.393,1.052,468.401,341.958,2.455,1.28,0.444
-436000,-9.076,207.5,-1.565,0.007,0.392,1.859,467.088,341.958,2.434,1.347,0.446
-434000,-9.188,209.8,-1.506,0.007,0.392,2.643,470.409,341.959,2.414,1.393,0.446
-432000,-9.087,209.55,-1.512,0.008,0.395,3.4,478.411,341.961,2.394,1.406,0.446
-430000,-8.487,223.45,-1.169,0.009,0.398,4.133,487.466,341.962,2.374,1.378,0.445
-428000,-7.097,242.5,-0.731,0.009,0.403,4.835,494.534,341.965,2.353,1.463,0.445
-426000,-5.025,251.867,-0.528,0.01,0.408,5.517,498.525,341.968,2.333,1.477,0.446
-424000,-3.178,268.625,-0.184,0.011,0.413,4.079,498.199,341.971,2.313,1.529,0.446
-422000,-3.609,269.15,-0.173,0.012,0.417,0.539,496.093,341.974,2.293,1.615,0.446
-420000,-3.432,267.5,-0.206,0.013,0.421,1.167,494.578,341.977,2.272,1.634,0.447
-418000,-2.388,272.9,-0.099,0.013,0.423,1.79,495.233,341.98,2.252,1.73,0.447
-416000,-2.033,273.267,-0.092,0.014,0.423,2.408,499.859,341.983,2.232,1.664,0.446
-414000,-2.26,273.233,-0.093,0.015,0.423,3.023,506.513,341.986,2.212,1.713,0.445
-412000,-2.0,269.9,-0.158,0.015,0.421,3.635,512.872,341.989,2.191,1.738,0.444
-410000,-1.353,283.5,0.105,0.015,0.417,4.244,516.309,341.991,2.171,1.662,0.441
-408000,-0.625,278.65,0.012,0.016,0.413,4.862,512.9,341.993,2.151,1.578,0.438
-406000,-0.757,285.05,0.134,0.016,0.409,5.479,504.08,341.994,2.131,1.508,0.434
-404000,-1.102,280.05,0.039,0.016,0.404,4.005,490.211,341.994,2.11,1.413,0.43
-402000,-1.489,276.5,-0.029,0.016,0.4,0.442,475.847,341.994,2.09,1.364,0.431
-400000,-2.07,279.4,0.027,0.016,0.396,1.072,465.578,341.993,2.23,1.472,0.433
-398000,-2.564,280.15,0.041,0.015,0.394,1.708,460.579,341.991,2.167,1.438,0.432
-396000,-3.028,276.3,-0.033,0.015,0.392,2.347,463.556,341.988,2.105,1.281,0.424
-394000,-3.45,270.45,-0.147,0.014,0.392,2.99,470.706,341.985,2.042,1.172,0.414
-392000,-4.216,264.6,-0.264,0.014,0.392,3.637,479.774,341.982,1.979,1.101,0.406
-390000,-4.492,258.1,-0.397,0.013,0.394,4.283,487.315,341.978,1.916,1.055,0.397
-388000,-5.025,245.8,-0.659,0.012,0.398,4.936,490.517,341.974,1.854,0.978,0.388
-386000,-4.433,246.8,-0.637,0.011,0.401,5.589,490.735,341.97,1.791,0.96,0.382
-384000,-3.596,239.1,-0.806,0.01,0.406,4.162,489.344,341.966,1.728,1.016,0.376
-382000,-4.529,240.0,-0.786,0.008,0.41,0.649,489.043,341.962,1.665,1.016,0.372
-380000,-4.241,227.0,-1.084,0.007,0.414,1.366,492.28,341.959,1.603,1.077,0.369
-378000,-5.052,227.05,-1.083,0.006,0.418,2.127,498.19,341.956,1.54,1.187,0.388
-376000,-5.799,227.1,-1.082,0.005,0.421,2.977,505.627,341.954,2.205,1.259,0.421
-374000,-7.201,214.7,-1.382,0.004,0.423,3.929,511.842,341.953,2.87,1.351,0.454
